,bioproject,sra_rec,sra_file_kind,sra_file_blob
0,PRJNA545410,8010006,read_1,"{""cluster"": ""public"", ""filename"": ""115_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203169/115_R1.fastq.gz.1"", ""size"": ""16566144"", ""date"": ""2019-06-05 10:06:47"", ""md5"": ""b995673c290d633bdf9a8dc5cc880b9a"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
1,PRJNA545410,8010006,read_2,"{""cluster"": ""public"", ""filename"": ""115_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203169/115_R2.fastq.gz.1"", ""size"": ""19413497"", ""date"": ""2019-06-05 10:06:47"", ""md5"": ""7ee6d7793b257fd2e9eab623685b62fa"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
2,PRJNA545410,8010006,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203169"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/008987/SRR9203169"", ""size"": ""43301107"", ""date"": ""2019-06-05 10:06:54"", ""md5"": ""3a962dc73fbb8d5a3457cb979e0916c7"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
3,PRJNA545410,8010005,read_1,"{""cluster"": ""public"", ""filename"": ""116_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203170/116_R1.fastq.gz.1"", ""size"": ""12453894"", ""date"": ""2019-06-05 10:06:49"", ""md5"": ""2f73dc4b5023337fe90fdf96577701a4"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
4,PRJNA545410,8010005,read_2,"{""cluster"": ""public"", ""filename"": ""116_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203170/116_R2.fastq.gz.1"", ""size"": ""14798390"", ""date"": ""2019-06-05 10:06:49"", ""md5"": ""bea22eb22b961f8b77f85780d9faef59"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
5,PRJNA545410,8010005,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203170"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/008987/SRR9203170"", ""size"": ""33570414"", ""date"": ""2019-06-05 10:06:57"", ""md5"": ""528be63faad93305865d21ee656921f6"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
6,PRJNA545410,8010004,read_1,"{""cluster"": ""public"", ""filename"": ""117_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203171/117_R1.fastq.gz.1"", ""size"": ""14340289"", ""date"": ""2019-06-05 10:06:50"", ""md5"": ""9f670d7874ccbaacf8237a655ae403b3"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
7,PRJNA545410,8010004,read_2,"{""cluster"": ""public"", ""filename"": ""117_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203171/117_R2.fastq.gz.1"", ""size"": ""16830257"", ""date"": ""2019-06-05 10:06:51"", ""md5"": ""c1c444ca995bb96c007a5ae7c6cd67b7"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
8,PRJNA545410,8010004,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203171"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/008987/SRR9203171"", ""size"": ""37370686"", ""date"": ""2019-06-05 10:06:58"", ""md5"": ""d20a5c4cf0765cfc623bdb09e8b24d64"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
9,PRJNA545410,8010003,read_1,"{""cluster"": ""public"", ""filename"": ""118_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203172/118_R1.fastq.gz.1"", ""size"": ""14898377"", ""date"": ""2019-06-05 10:06:53"", ""md5"": ""bb886aaf9329b09656026533d6f24ef0"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
