City,Country,latitude,longitude,form_id,id_string,title,url
Ado Ekiti,Nigeria,7.621111,5.221389,697735,anaHqDRjweUJ7YJo3ZK5se,"gCSD2021 | Ado Ekiti, Nigeria",https://kc.kobotoolbox.org/api/v1/data/697735?format=json
Baltimore,United States,39.2846853,-76.6906976,697527,az7qq75guo8brHtjpDSFqs,"gCSD2021 | Baltimore, United States",https//kc.kobotoolbox.org/api/v1/data/697527?format=json
Bogotá,Colombia,4.6482836,-74.2482371,697531,aXE9fEQQQiA3NixDofQmsZ,"gCSD2021 | Bogota, Colombia",https//kc.kobotoolbox.org/api/v1/data/697531?format=json
Boston,United States,42.358894,-71.056742,697540,a5rFtwQxTDkYDU6xy5JfMF,"gCSD2021 | Boston, United States",https://kc.kobotoolbox.org/api/v1/data/697540?format=json
Buenos Aires,Argentina,-34.6158036,-58.5035102,697545,aMVSfqAuqQRK6FGN8H6SJo,"gCSD2021 | Buenos Aires, Argentina",https://kc.kobotoolbox.org/api/v1/data/697545?format=json
Cairo,Egypt,30.04442,31.235712,697573,a7QjsxqhFUCkZKBEpzPJR3,"gCSD2021 | Cairo, Egypt",https://kc.kobotoolbox.org/api/v1/data/697573?format=json
Chennai,India,13.08268,80.270721,697736,aQtNTDewJzgGn8gtqzFhkf,"gCSD2021 | Chennai, India",https://kc.kobotoolbox.org/api/v1/data/697736?format=json
Copenhagen,Denmark,55.6712473,12.5236129,697585,aHmXP6EGa3s53vYh2x3WUV,"gCSD2021 | Copenhagen, Denmark",https://kc.kobotoolbox.org/api/v1/data/697585?format=json
Daegu,Republic of Korea,35.871433,128.60144,697599,aCDdojPpixUqKPYL8qisFM,"gCSD2021 | Daegu, Republic of Korea",https://kc.kobotoolbox.org/api/v1/data/697599?format=json
"Dallas, Texas",United States,32.779167,-96.808889,697746,aTTVcMvHBtHgsXdFV5MgY4,"gCSD2021 | Dallas, Texas, United States",https//kc.kobotoolbox.org/api/v1/data/697746?format=json
Denver,United States,39.7392,-104.985,697500,aTPkS9hww4gQEEwgm82h2S,"gCSD2021 | Denver, United States",https//kc.kobotoolbox.org/api/v1/data/697500?format=json
Fukuoka,Japan,33.6501132,129.9824648,703495,awyPUaYpqL48YN4AtPJyxB,"gCSD2021 | Fukuoka, Japan",https//kc.kobotoolbox.org/api/v1/data/703495?format=json
"Fukuroi, Shizuoka",Japan,34.750167, 137.924667,703495,awyPUaYpqL48YN4AtPJyxB,"gCSD2021 | Fukuoka, Japan",https//kc.kobotoolbox.org/api/v1/data/703495?format=json
Hong Kong,Hong Kong,22.331661,114.168587,697618,aAyGBYZ2vFphn7rZ8Z2ezc,gCSD2021 | Hong Kong,https://kc.kobotoolbox.org/api/v1/data/697618?format=json
"Honolulu, Hawaii",United States,21.304709,-157.85753,697639,aab6rED3GVBfwJMP3vxVr7,"gCSD2021 | Honolulu, Hawaii, United States",https://kc.kobotoolbox.org/api/v1/data/697639?format=json
Houston,United States,29.762778,-95.383056,697676,aa3EALP5r6zKMusJHVoZBN,"gCSD2021 | Houston, United States",https://kc.kobotoolbox.org/api/v1/data/697676?format=json
Hyderabad,India,17.4122996,78.2676159,697649,a5bhoZcHmgsii8fx9v3B3m,"gCSD2021 | Hyderabad, India",https://kc.kobotoolbox.org/api/v1/data/697649?format=json
Ilorin and Offa,Nigeria,8.5,4.55,697688,a7hnqTKqvy8Pp3tJfZfpD3,"gCSD2021 | Ilorin and Offa, Nigeria",https://kc.kobotoolbox.org/api/v1/data/697688?format=json
Islamabad,Pakistan,33.684422,73.047882,697656,a765c8qJzQ2qx3zXMSuwyK,"gCSD2021 | Islamabad, Pakistan",https://kc.kobotoolbox.org/api/v1/data/697656?format=json
İstanbul,Türkiye,41.00824,28.978359,697727,aCxGitd6uNbGubqjzn6yDs,"gCSD2021 | Istanbul, Turkey",https://kc.kobotoolbox.org/api/v1/data/697727?format=json
Iwate Prefecture,Japan,39.657004,141.422639,703631,aQrPDdEVKCZUHYbzvgsKt3,"gCSD2021 | Iwate Prefecture, Japan",https://kc.kobotoolbox.org/api/v1/data/703631?format=json
Kanagawa Prefecture,Japan,35.434018,139.240733,703452,amuH7mgVNegTV9udryXxsb,"gCSD2021 | Kanagawa Prefecture, Japan",https://kc.kobotoolbox.org/api/v1/data/703452?format=json
Kolkata,India,22.6757509,88.0488494,697731,a58w97KRc2zgcuVzv3RmWh,"gCSD2021 | Kolkata, India",https://kc.kobotoolbox.org/api/v1/data/697731?format=json
Krakow,Poland,50.054177,19.936202,697489,azXBALVWdTBTJV5SAy7npa,"gCSD2021 | Krakow, Poland",https//kc.kobotoolbox.org/api/v1/data/697489?format=json
Kuala Lumpur,Malaysia,3.147778,101.695278,697748,adKtzktLP66W7fipEFCBPk,"gCSD2021 | Kuala Lumpur, Malaysia",https://kc.kobotoolbox.org/api/v1/data/697748?format=json
"Kusatsu, Shiga",Japan,35.026763,135.937349,703658,a8wjwxrVfS22wYEn6zMFkp,"gCSD2021 | Kusatsu, Shiga, Japan",https://kc.kobotoolbox.org/api/v1/data/703658?format=json
Kyiv,Ukraine,50.4016974,30.2518253,697752,aZwU5mqKv4oijPYDjPYknC,"gCSD2021 | Kyiv, Ukraine",https//kc.kobotoolbox.org/api/v1/data/697752?format=json
Lima,Peru,-12.05,-77.033333,697760,aFnwqCWdY5LnfLSMnUfYmV,"gCSD2021 | Lima, Peru",https://kc.kobotoolbox.org/api/v1/data/697760?format=json
London,United Kingdom,51.501764,-0.129772,697754,aKypeqUnjucKthA56BJvuX,"gCSD2021 | London, United Kingdom",https://kc.kobotoolbox.org/api/v1/data/697754?format=json
"Los Alamos, New Mexico",United States,35.891111,-106.297778,698418,aXRENC5gUeDeptC93DjuAn,"gCSD2021 | Los Alamos, New Mexico, United States",https//kc.kobotoolbox.org/api/v1/data/698418?format=json
Marseille,France,43.295021,5.37449,698426,aNK69AuLUjTYotpcapr95P,"gCSD2021 | Marseille, France",https://kc.kobotoolbox.org/api/v1/data/698426?format=json
"Matsudo, Chiba",Japan,35.787639, 139.903167,703489,awmec8wSStSWptrZsvx6bQ,"gCSD2021 | Matsudo, Chiba, Japan",https//kc.kobotoolbox.org/api/v1/data/703489?format=json
Miami,United States,25.775163,-80.208615,698450,aTZtmisHnwgnZpe4AwuHrz,"gCSD2021 | Miami, United States",https//kc.kobotoolbox.org/api/v1/data/698450?format=json
Montevideo,Uruguay,-34.8210176,-56.3768668,698455,avqgekPgVzbqqBNT7Whuvd,"gCSD2021 | Montevideo, Uruguay",https//kc.kobotoolbox.org/api/v1/data/698455?format=json
